,ECLO
347,0.02739726
348,0.02739726
349,0.02739726
350,0.02739726
351,0.15068494
352,0.02739726
353,0.0
354,0.53424656
355,0.05479452
356,0.0
357,0.02739726
358,0.05479452
359,0.02739726
360,0.10958904
361,0.02739726
362,0.02739726
363,0.05479452
364,0.06849315
365,0.06849315
366,0.06849315
367,0.02739726
368,0.02739726
369,0.10958904
370,0.02739726
371,0.05479452
372,0.05479452
373,0.10958904
374,0.02739726
375,0.09589041
376,0.06849315
377,0.02739726
378,0.02739726
379,0.05479452
380,0.09589041
381,0.06849315
382,0.02739726
383,0.04109589
384,0.06849315
385,0.04109589
386,0.05479452
387,0.02739726
388,0.06849315
389,0.02739726
390,0.06849315
391,0.04109589
392,0.02739726
393,0.02739726
394,0.02739726
395,0.02739726
396,0.0
397,0.10958904
398,0.10958904
399,0.06849315
400,0.02739726
401,0.06849315
402,0.02739726
403,0.09589041
404,0.02739726
405,0.02739726
406,0.05479452
407,0.10958904
408,0.02739726
409,0.06849315
410,0.02739726
411,0.05479452
412,0.02739726
413,0.02739726
414,0.02739726
415,0.02739726
416,0.02739726
417,0.0
418,0.02739726
419,0.06849315
420,0.06849315
421,0.02739726
422,0.02739726
423,0.02739726
424,0.06849315
425,0.02739726
426,0.06849315
427,0.02739726
428,0.10958904
429,0.02739726
430,0.02739726
431,0.05479452
432,0.02739726
433,0.02739726
434,0.0
435,0.02739726
436,0.05479452
437,0.02739726
438,0.06849315
439,0.02739726
440,0.02739726
441,0.02739726
442,0.02739726
443,0.19178082
444,0.02739726
445,0.16438356
446,0.02739726
447,0.02739726
448,0.02739726
449,0.02739726
450,0.02739726
451,0.05479452
452,0.02739726
453,0.06849315
454,0.02739726
455,0.05479452
456,0.19178082
457,0.02739726
458,0.09589041
459,0.02739726
460,0.02739726
461,0.09589041
462,0.02739726
463,0.10958904
464,0.02739726
465,0.02739726
466,0.0
467,0.05479452
468,0.02739726
469,0.02739726
470,0.05479452
471,0.02739726
472,0.05479452
473,0.05479452
474,0.05479452
475,0.0
476,0.05479452
477,0.06849315
478,0.02739726
479,0.02739726
480,0.02739726
481,0.02739726
482,0.05479452
483,0.02739726
484,0.02739726
485,0.02739726
486,0.02739726
487,0.02739726
488,0.02739726
489,0.02739726
490,0.28767124
491,0.06849315
492,0.02739726
493,0.05479452
494,0.05479452
495,0.09589041
496,0.0
497,0.02739726
498,0.02739726
499,0.05479452
500,0.05479452
501,0.02739726
502,0.02739726
503,0.02739726
504,0.02739726
505,0.04109589
506,0.05479452
507,0.02739726
508,0.12328767
509,0.02739726
510,0.05479452
511,0.10958904
512,0.1369863
513,0.10958904
514,0.02739726
515,0.02739726
516,0.06849315
517,0.02739726
518,0.02739726
519,0.05479452
520,0.04109589
521,0.05479452
522,0.05479452
523,0.02739726
524,0.06849315
525,0.0
526,0.06849315
527,0.02739726
528,0.05479452
529,0.09589041
530,0.0
531,0.02739726
532,0.0
533,0.06849315
534,0.05479452
535,0.06849315
536,0.09589041
537,0.06849315
538,0.05479452
539,0.06849315
540,0.02739726
541,0.05479452
542,0.02739726
543,0.02739726
544,0.02739726
545,0.06849315
546,0.02739726
547,0.05479452
548,0.02739726
549,0.05479452
550,0.05479452
551,0.02739726
552,0.0
553,0.06849315
554,0.02739726
555,0.05479452
556,0.02739726
557,0.02739726
558,0.09589041
559,0.10958904
560,0.02739726
561,0.02739726
562,0.12328767
563,0.02739726
564,0.02739726
565,0.02739726
566,0.02739726
567,0.05479452
568,0.02739726
569,0.10958904
570,0.02739726
571,0.02739726
572,0.05479452
573,0.02739726
574,0.0
575,0.02739726
576,0.02739726
577,0.06849315
578,0.02739726
579,0.02739726
580,0.05479452
581,0.02739726
582,0.05479452
583,0.02739726
584,0.05479452
585,0.15068494
586,0.02739726
587,0.06849315
588,0.02739726
589,0.05479452
590,0.05479452
591,0.06849315
592,0.02739726
593,0.05479452
594,0.02739726
595,0.02739726
596,0.02739726
597,0.10958904
598,0.04109589
599,0.02739726
600,0.02739726
601,0.02739726
602,0.02739726
603,0.02739726
604,0.10958904
605,0.02739726
606,0.15068494
607,0.02739726
608,0.02739726
609,0.02739726
610,0.02739726
611,0.02739726
612,0.09589041
613,0.05479452
614,0.16438356
615,0.12328767
616,0.15068494
617,0.02739726
618,0.05479452
619,0.02739726
620,0.05479452
621,0.05479452
622,0.02739726
623,0.02739726
624,0.02739726
625,0.02739726
626,0.02739726
627,0.02739726
628,0.02739726
629,0.02739726
630,0.02739726
631,0.0
632,0.02739726
633,0.09589041
634,0.05479452
635,0.19178082
636,0.05479452
637,0.0
638,0.02739726
639,0.02739726
640,0.12328767
641,0.02739726
642,0.05479452
643,0.06849315
644,0.04109589
645,0.0
646,0.02739726
647,0.15068494
648,0.20547946
649,0.02739726
650,0.02739726
651,0.0
652,0.02739726
653,0.02739726
654,0.02739726
655,0.02739726
656,0.02739726
657,0.05479452
658,0.02739726
659,0.02739726
660,0.10958904
661,0.02739726
662,0.02739726
663,0.02739726
664,0.02739726
665,0.02739726
666,0.05479452
667,0.09589041
668,0.02739726
669,0.06849315
670,0.06849315
671,0.06849315
672,0.02739726
673,0.05479452
674,0.12328767
675,0.05479452
676,0.05479452
677,0.05479452
678,0.10958904
679,0.02739726
680,0.06849315
681,0.06849315
682,0.02739726
683,0.0
684,0.10958904
685,0.1369863
686,0.02739726
687,0.08219178
688,0.02739726
689,0.02739726
690,0.02739726
691,0.02739726
692,0.02739726
693,0.06849315
694,0.02739726
695,0.05479452
696,0.19178082
697,0.05479452
698,0.02739726
699,0.02739726
700,0.16438356
701,0.05479452
702,0.0
703,0.09589041
704,0.06849315
705,0.02739726
706,0.02739726
707,0.05479452
708,0.09589041
709,0.10958904
710,0.12328767
711,0.02739726
712,0.04109589
713,0.05479452
714,0.19178082
715,0.02739726
716,0.02739726
717,0.05479452
718,0.05479452
719,0.05479452
720,0.04109589
721,0.05479452
722,0.02739726
723,0.06849315
724,0.02739726
725,0.02739726
726,0.02739726
727,0.02739726
728,0.02739726
729,0.02739726
730,0.1369863
731,0.02739726
732,0.02739726
733,0.05479452
734,0.02739726
735,0.0
736,0.05479452
737,0.02739726
738,0.02739726
739,0.02739726
740,0.02739726
741,0.02739726
742,0.02739726
743,0.02739726
744,0.05479452
745,0.02739726
746,0.02739726
747,0.10958904
748,0.06849315
749,0.02739726
750,0.06849315
751,0.05479452
752,0.02739726
753,0.06849315
754,0.19178082
755,0.02739726
756,0.02739726
757,0.15068494
758,0.02739726
759,0.06849315
760,0.02739726
761,0.0
762,0.02739726
763,0.05479452
764,0.02739726
765,0.05479452
766,0.05479452
767,0.02739726
768,0.05479452
769,0.10958904
770,0.2739726
771,0.04109589
772,0.02739726
773,0.06849315
774,0.02739726
775,0.06849315
776,0.06849315
777,0.05479452
778,0.06849315
779,0.06849315
780,0.02739726
781,0.02739726
782,0.05479452
783,0.0
784,0.02739726
785,0.02739726
786,0.02739726
787,0.02739726
788,0.05479452
789,0.06849315
790,0.05479452
791,0.06849315
792,0.02739726
793,0.02739726
794,0.02739726
795,0.06849315
796,0.02739726
797,0.02739726
798,0.06849315
799,0.02739726
800,0.02739726
801,0.05479452
802,0.02739726
803,0.02739726
804,0.05479452
805,0.05479452
806,0.06849315
807,0.05479452
808,0.02739726
809,0.02739726
810,0.05479452
811,0.1369863
812,0.10958904
813,0.06849315
814,0.02739726
815,0.0
816,0.06849315
817,0.10958904
818,0.0
819,0.0
820,0.06849315
821,0.05479452
822,0.02739726
823,0.21917808
824,0.08219178
825,0.04109589
826,0.02739726
827,0.06849315
828,0.12328767
829,0.06849315
830,0.02739726
831,0.02739726
832,0.0
833,0.02739726
834,0.15068494
835,0.02739726
836,0.02739726
837,0.06849315
838,0.06849315
839,0.06849315
840,0.02739726
841,0.10958904
842,0.02739726
843,0.02739726
844,0.02739726
845,0.02739726
846,0.02739726
847,0.02739726
848,0.02739726
849,0.05479452
850,0.05479452
851,0.02739726
852,0.02739726
853,0.19178082
854,0.02739726
855,0.1369863
856,0.05479452
857,0.04109589
858,0.05479452
859,0.15068494
860,0.12328767
861,0.02739726
862,0.1369863
863,0.02739726
864,0.06849315
865,0.02739726
866,0.05479452
867,0.02739726
868,0.06849315
869,0.02739726
870,0.10958904
871,0.02739726
872,0.0
873,0.02739726
874,0.05479452
875,0.0
876,0.05479452
877,0.06849315
878,0.02739726
879,0.06849315
880,0.06849315
881,0.1369863
882,0.02739726
883,0.02739726
884,0.02739726
885,0.05479452
886,0.05479452
887,0.02739726
888,0.19178082
889,0.08219178
890,0.02739726
891,0.05479452
892,0.02739726
893,0.02739726
894,0.0
895,0.02739726
896,0.05479452
897,0.09589041
898,0.05479452
899,0.05479452
900,0.02739726
901,0.02739726
902,0.02739726
903,0.06849315
904,0.05479452
905,0.05479452
906,0.05479452
907,0.02739726
908,0.02739726
909,0.06849315
910,0.02739726
911,0.06849315
912,0.02739726
913,0.06849315
914,0.02739726
915,0.02739726
916,0.05479452
917,0.01369863
918,0.02739726
919,0.12328767
920,0.02739726
921,0.02739726
922,0.02739726
923,0.02739726
924,0.02739726
925,0.05479452
926,0.05479452
927,0.02739726
928,0.02739726
929,0.02739726
930,0.02739726
931,0.04109589
932,0.02739726
933,0.02739726
934,0.02739726
935,0.02739726
936,0.05479452
937,0.05479452
938,0.02739726
939,0.02739726
940,0.05479452
941,0.05479452
942,0.05479452
943,0.02739726
944,0.01369863
945,0.06849315
946,0.02739726
947,0.05479452
948,0.02739726
949,0.02739726
950,0.1369863
951,0.02739726
952,0.06849315
953,0.10958904
954,0.02739726
955,0.02739726
956,0.05479452
957,0.06849315
958,0.02739726
959,0.02739726
960,0.09589041
961,0.06849315
962,0.02739726
963,0.02739726
964,0.06849315
965,0.02739726
966,0.02739726
967,0.02739726
968,0.12328767
969,0.05479452
970,0.02739726
971,0.05479452
972,0.02739726
973,0.05479452
974,0.08219178
975,0.02739726
976,0.16438356
977,0.02739726
978,0.05479452
979,0.02739726
980,0.05479452
981,0.02739726
982,0.05479452
983,0.02739726
984,0.23287672
985,0.09589041
986,0.06849315
987,0.02739726
988,0.09589041
989,0.10958904
990,0.02739726
991,0.0
992,0.0
993,0.02739726
994,0.06849315
995,0.02739726
996,0.06849315
997,0.06849315
998,0.05479452
999,0.05479452
1000,0.02739726
1001,0.0
1002,0.05479452
1003,0.05479452
1004,0.0
1005,0.04109589
1006,0.05479452
1007,0.02739726
1008,0.02739726
1009,0.02739726
1010,0.02739726
1011,0.02739726
1012,0.21917808
1013,0.02739726
1014,0.04109589
1015,0.02739726
1016,0.06849315
1017,0.04109589
1018,0.0
1019,0.06849315
1020,0.02739726
1021,0.0
1022,0.05479452
1023,0.0
1024,0.05479452
1025,0.06849315
1026,0.02739726
1027,0.06849315
1028,0.05479452
1029,0.02739726
1030,0.02739726
1031,0.05479452
1032,0.06849315
1033,0.06849315
1034,0.02739726
1035,0.05479452
1036,0.15068494
1037,0.02739726
1038,0.02739726
1039,0.0
1040,0.06849315
1041,0.05479452
1042,0.0
1043,0.04109589
1044,0.09589041
1045,0.09589041
1046,0.05479452
1047,0.02739726
1048,0.02739726
1049,0.02739726
1050,0.04109589
1051,0.05479452
1052,0.02739726
1053,0.06849315
1054,0.02739726
1055,0.0
1056,0.02739726
1057,0.02739726
1058,0.02739726
1059,0.02739726
1060,0.02739726
1061,0.02739726
1062,0.05479452
1063,0.08219178
1064,0.02739726
1065,0.06849315
1066,0.09589041
1067,0.02739726
1068,0.02739726
1069,0.02739726
1070,0.05479452
1071,0.05479452
1072,0.06849315
1073,0.10958904
1074,0.02739726
1075,0.0
1076,0.05479452
1077,0.02739726
1078,0.02739726
1079,0.04109589
1080,0.02739726
1081,0.05479452
1082,0.02739726
1083,0.05479452
1084,0.05479452
1085,0.02739726
1086,0.06849315
1087,0.06849315
1088,0.06849315
1089,0.06849315
1090,0.02739726
1091,0.0
1092,0.02739726
1093,0.05479452
1094,0.02739726
1095,0.02739726
1096,0.02739726
1097,0.10958904
1098,0.06849315
1099,0.12328767
1100,0.02739726
1101,0.05479452
1102,0.02739726
1103,0.06849315
1104,0.06849315
1105,0.01369863
1106,0.02739726
1107,0.12328767
1108,0.02739726
1109,0.02739726
1110,0.02739726
1111,0.02739726
1112,0.02739726
1113,0.02739726
1114,0.0
1115,0.02739726
1116,0.12328767
1117,0.10958904
1118,0.05479452
1119,0.06849315
1120,0.05479452
1121,0.02739726
1122,0.15068494
1123,0.02739726
1124,0.06849315
1125,0.02739726
1126,0.02739726
1127,0.02739726
1128,0.06849315
1129,0.06849315
1130,0.02739726
1131,0.02739726
1132,0.02739726
1133,0.02739726
1134,0.05479452
1135,0.02739726
1136,0.05479452
1137,0.05479452
1138,0.10958904
1139,0.02739726
1140,0.05479452
1141,0.02739726
1142,0.02739726
1143,0.06849315
1144,0.21917808
1145,0.02739726
1146,0.02739726
1147,0.05479452
1148,0.32876712
1149,0.20547946
1150,0.1369863
1151,0.02739726
1152,0.02739726
1153,0.16438356
1154,0.04109589
1155,0.02739726
1156,0.05479452
1157,0.02739726
1158,0.02739726
1159,0.06849315
1160,0.02739726
1161,0.02739726
1162,0.02739726
1163,0.05479452
1164,0.23287672
1165,0.05479452
1166,0.0
1167,0.06849315
1168,0.06849315
1169,0.06849315
1170,0.09589041
1171,0.02739726
1172,0.06849315
1173,0.10958904
1174,0.09589041
1175,0.06849315
1176,0.06849315
1177,0.02739726
1178,0.02739726
1179,0.02739726
1180,0.02739726
1181,0.10958904
1182,0.06849315
1183,0.02739726
1184,0.05479452
1185,0.12328767
1186,0.02739726
1187,0.02739726
1188,0.05479452
1189,0.0
1190,0.02739726
1191,0.20547946
1192,0.02739726
1193,0.02739726
1194,0.02739726
1195,0.20547946
1196,0.01369863
1197,0.05479452
1198,0.15068494
1199,0.02739726
1200,0.15068494
1201,0.06849315
1202,0.15068494
1203,0.06849315
1204,0.09589041
1205,0.05479452
1206,0.02739726
1207,0.06849315
1208,0.05479452
1209,0.12328767
1210,0.06849315
1211,0.02739726
1212,0.0
1213,0.0
1214,0.1369863
1215,0.02739726
1216,0.06849315
1217,0.02739726
1218,0.06849315
1219,0.02739726
1220,0.05479452
1221,0.02739726
1222,0.1780822
1223,0.09589041
1224,0.15068494
1225,0.1369863
1226,0.05479452
1227,0.08219178
1228,0.06849315
1229,0.02739726
1230,0.02739726
1231,0.02739726
1232,0.02739726
1233,0.06849315
1234,0.02739726
1235,0.02739726
1236,0.02739726
1237,0.02739726
1238,0.02739726
1239,0.19178082
1240,0.02739726
1241,0.05479452
1242,0.06849315
1243,0.02739726
1244,0.06849315
1245,0.06849315
1246,0.02739726
1247,0.06849315
1248,0.05479452
1249,0.09589041
1250,0.05479452
1251,0.02739726
1252,0.02739726
1253,0.05479452
1254,0.05479452
1255,0.05479452
1256,0.02739726
1257,0.02739726
1258,0.05479452
1259,0.06849315
1260,0.06849315
1261,0.02739726
1262,0.02739726
1263,0.02739726
1264,0.02739726
1265,0.06849315
1266,0.09589041
1267,0.02739726
1268,0.02739726
1269,0.02739726
1270,0.02739726
1271,0.02739726
1272,0.02739726
1273,0.02739726
1274,0.02739726
1275,0.02739726
1276,0.0
1277,0.02739726
1278,0.05479452
1279,0.0
1280,0.0
1281,0.05479452
1282,0.06849315
1283,0.0
1284,0.02739726
1285,0.06849315
1286,0.15068494
1287,0.02739726
1288,0.0
1289,0.02739726
1290,0.09589041
1291,0.0
1292,0.12328767
1293,0.02739726
1294,0.02739726
1295,0.05479452
1296,0.06849315
1297,0.02739726
1298,0.05479452
1299,0.02739726
1300,0.02739726
1301,0.02739726
1302,0.02739726
1303,0.02739726
1304,0.02739726
1305,0.02739726
1306,0.02739726
1307,0.06849315
1308,0.05479452
1309,0.02739726
1310,0.02739726
1311,0.02739726
1312,0.02739726
1313,0.02739726
1314,0.02739726
1315,0.0
1316,0.06849315
1317,0.06849315
1318,0.05479452
1319,0.02739726
1320,0.0
1321,0.06849315
1322,0.02739726
1323,0.05479452
1324,0.02739726
1325,0.05479452
1326,0.02739726
1327,0.02739726
1328,0.05479452
1329,0.02739726
1330,0.02739726
1331,0.02739726
1332,0.05479452
1333,0.02739726
1334,0.02739726
1335,0.0
1336,0.04109589
1337,0.06849315
1338,0.02739726
1339,0.02739726
1340,0.10958904
1341,0.02739726
1342,0.02739726
1343,0.02739726
1344,0.02739726
1345,0.02739726
1346,0.02739726
1347,0.02739726
1348,0.05479452
1349,0.10958904
1350,0.02739726
1351,0.23287672
1352,0.05479452
1353,0.02739726
1354,0.02739726
1355,0.02739726
1356,0.05479452
1357,0.05479452
1358,0.10958904
1359,0.02739726
1360,0.0
1361,0.02739726
1362,0.09589041
1363,0.02739726
1364,0.26027396
1365,0.0
1366,0.02739726
1367,0.06849315
1368,0.02739726
1369,0.02739726
1370,0.05479452
1371,0.10958904
1372,0.02739726
1373,0.05479452
1374,0.05479452
1375,0.06849315
1376,0.0
1377,0.02739726
1378,0.02739726
1379,0.06849315
1380,0.02739726
1381,0.0
1382,0.05479452
1383,0.02739726
1384,0.02739726
1385,0.0
1386,0.02739726
1387,0.09589041
1388,0.02739726
1389,0.0
1390,0.02739726
1391,0.09589041
1392,0.06849315
1393,0.1369863
1394,0.06849315
1395,0.02739726
1396,0.02739726
1397,0.02739726
1398,0.05479452
1399,0.02739726
1400,0.3561644
1401,0.05479452
1402,0.02739726
1403,0.09589041
1404,0.02739726
1405,0.10958904
1406,0.02739726
1407,0.09589041
1408,0.05479452
1409,0.06849315
1410,0.06849315
1411,0.06849315
1412,0.02739726
1413,0.02739726
1414,0.0
1415,0.05479452
1416,0.02739726
1417,0.05479452
1418,0.05479452
1419,0.15068494
1420,0.02739726
1421,0.02739726
1422,0.06849315
1423,0.15068494
1424,0.02739726
1425,0.02739726
1426,0.06849315
1427,0.05479452
1428,0.04109589
1429,0.02739726
1430,0.06849315
1431,0.05479452
1432,0.0
1433,0.10958904
1434,0.12328767
1435,0.06849315
1436,0.06849315
1437,0.06849315
1438,0.06849315
1439,0.02739726
1440,0.04109589
1441,0.20547946
1442,0.05479452
1443,0.02739726
1444,0.2739726
1445,0.02739726
1446,0.02739726
1447,0.02739726
1448,0.02739726
1449,0.10958904
1450,0.02739726
1451,0.02739726
1452,0.02739726
1453,0.02739726
1454,0.02739726
1455,0.06849315
1456,0.02739726
1457,0.05479452
1458,0.10958904
1459,0.02739726
1460,0.10958904
1461,0.19178082
1462,0.10958904
1463,0.02739726
1464,0.02739726
1465,0.02739726
1466,0.05479452
1467,0.05479452
1468,0.09589041
1469,0.05479452
1470,0.02739726
1471,0.02739726
1472,0.2739726
1473,0.02739726
1474,0.02739726
1475,0.02739726
1476,0.0
1477,0.02739726
1478,0.09589041
1479,0.02739726
1480,0.15068494
1481,0.02739726
1482,0.05479452
1483,0.05479452
1484,0.02739726
1485,0.02739726
1486,0.10958904
1487,0.02739726
1488,0.02739726
1489,0.02739726
1490,0.02739726
1491,0.05479452
1492,0.02739726
1493,0.05479452
1494,0.0
1495,0.0
1496,0.02739726
1497,0.02739726
1498,0.12328767
1499,0.04109589
1500,0.02739726
1501,0.0
1502,0.02739726
1503,0.02739726
1504,0.02739726
1505,0.05479452
1506,0.12328767
1507,0.02739726
1508,0.02739726
1509,0.0
1510,0.02739726
1511,0.02739726
1512,0.02739726
1513,0.12328767
1514,0.05479452
1515,0.02739726
1516,0.02739726
1517,0.02739726
1518,0.02739726
1519,0.0
1520,0.05479452
1521,0.0
1522,0.02739726
1523,0.02739726
1524,0.10958904
1525,0.02739726
1526,0.05479452
1527,0.06849315
1528,0.02739726
1529,0.04109589
1530,0.02739726
1531,0.0
1532,0.05479452
1533,0.1369863
1534,0.05479452
1535,0.0
1536,0.06849315
1537,0.02739726
1538,0.06849315
1539,0.0
1540,0.23287672
1541,0.02739726
1542,0.02739726
1543,0.02739726
1544,0.24657534
1545,0.02739726
1546,0.0
1547,0.05479452
1548,0.02739726
1549,0.05479452
1550,0.15068494
1551,0.10958904
1552,0.02739726
1553,0.02739726
1554,0.0
1555,0.02739726
1556,0.02739726
1557,0.23287672
1558,0.05479452
1559,0.06849315
1560,0.09589041
1561,0.02739726
1562,0.05479452
1563,0.05479452
1564,0.02739726
1565,0.12328767
1566,0.02739726
1567,0.02739726
1568,0.0
1569,0.06849315
1570,0.02739726
1571,0.06849315
1572,0.06849315
1573,0.05479452
1574,0.05479452
1575,0.05479452
1576,0.20547946
1577,0.06849315
1578,0.02739726
1579,0.02739726
1580,0.02739726
1581,0.02739726
1582,0.02739726
1583,0.02739726
1584,0.15068494
1585,0.02739726
1586,0.05479452
1587,0.06849315
1588,0.15068494
1589,0.05479452
1590,0.06849315
1591,0.02739726
1592,0.06849315
1593,0.02739726
1594,0.06849315
1595,0.02739726
1596,0.02739726
1597,0.02739726
1598,0.02739726
1599,0.02739726
1600,0.0
1601,0.02739726
1602,0.02739726
1603,0.02739726
1604,0.1369863
1605,0.02739726
1606,0.02739726
1607,0.02739726
1608,0.02739726
1609,0.05479452
1610,0.02739726
1611,0.05479452
1612,0.06849315
1613,0.02739726
1614,0.02739726
1615,0.02739726
1616,0.06849315
1617,0.02739726
1618,0.02739726
1619,0.02739726
1620,0.02739726
1621,0.10958904
1622,0.02739726
1623,0.06849315
1624,0.09589041
1625,0.02739726
1626,0.05479452
1627,0.21917808
1628,0.05479452
1629,0.02739726
1630,0.02739726
1631,0.02739726
1632,0.02739726
1633,0.05479452
1634,0.02739726
1635,0.09589041
1636,0.06849315
1637,0.02739726
1638,0.1780822
1639,0.02739726
1640,0.05479452
1641,0.02739726
1642,0.02739726
1643,0.05479452
1644,0.19178082
1645,0.02739726
1646,0.06849315
1647,0.1369863
1648,0.02739726
1649,0.02739726
1650,0.02739726
1651,0.15068494
1652,0.02739726
1653,0.02739726
1654,0.02739726
1655,0.06849315
1656,0.02739726
1657,0.02739726
1658,0.05479452
1659,0.02739726
1660,0.02739726
1661,0.02739726
1662,0.05479452
1663,0.02739726
1664,0.02739726
1665,0.02739726
1666,0.02739726
1667,0.10958904
1668,0.02739726
1669,0.02739726
1670,0.05479452
1671,0.0
1672,0.05479452
1673,0.02739726
1674,0.02739726
1675,0.02739726
1676,0.02739726
1677,0.02739726
1678,0.02739726
1679,0.05479452
1680,0.0
1681,0.02739726
1682,0.02739726
1683,0.02739726
1684,0.02739726
1685,0.02739726
1686,0.02739726
1687,0.23287672
1688,0.0
